event_id,user_id,event_type,timestamp,amount
57,u007,month_6_renewal,2024-08-10,990
58,u007,month_7_renewal,2024-09-10,990
59,u008,registration,2024-01-25,0
60,u008,first_payment,2024-01-25,990
61,u008,month_2_renewal,2024-02-25,990
62,u008,month_3_renewal,2024-03-25,990
63,u008,month_4_renewal,2024-04-25,990
64,u008,month_5_renewal,2024-05-25,990
65,u008,month_6_renewal,2024-06-25,990
66,u008,month_7_renewal,2024-07-25,990
67,u008,month_8_renewal,2024-08-25,990
68,u008,month_9_renewal,2024-09-25,990
69,u009,registration,2024-02-15,0
70,u009,first_payment,2024-02-15,990
71,u009,month_2_renewal,2024-03-15,990
72,u009,month_3_renewal,2024-04-15,990
73,u009,month_4_renewal,2024-05-15,990
74,u009,month_5_renewal,2024-06-15,990
75,u009,month_6_renewal,2024-07-15,990
76,u009,month_7_renewal,2024-08-15,990
77,u010,registration,2024-03-05,0
78,u010,first_payment,2024-03-05,990
79,u010,month_2_renewal,2024-04-05,990
80,u010,month_3_renewal,2024-05-05,990
81,u010,month_4_renewal,2024-06-05,990
82,u010,month_5_renewal,2024-07-05,990
83,u010,month_6_renewal,2024-08-05,990
84,u011,registration,2024-01-10,0
85,u011,first_payment,2024-01-10,990
86,u011,month_2_renewal,2024-02-10,990
87,u011,month_3_renewal,2024-03-10,990
88,u011,month_4_renewal,2024-04-10,990
89,u011,month_5_renewal,2024-05-10,990
90,u011,month_6_renewal,2024-06-10,990
91,u011,month_7_renewal,2024-07-10,990
92,u011,month_8_renewal,2024-08-10,990
93,u011,month_9_renewal,2024-09-10,990
94,u011,month_10_renewal,2024-10-10,990
95,u012,registration,2024-03-20,0
96,u012,first_payment,2024-03-20,990
97,u012,month_2_renewal,2024-04-20,990
98,u012,month_3_renewal,2024-05-20,990
99,u012,month_4_renewal,2024-06-20,990
100,u012,month_5_renewal,2024-07-20,990
101,u012,month_6_renewal,2024-08-20,990
102,u013,registration,2024-02-01,0
103,u013,first_payment,2024-02-01,990
104,u013,month_2_renewal,2024-03-01,990
105,u013,month_3_renewal,2024-04-01,990
106,u013,month_4_renewal,2024-05-01,990
107,u013,month_5_renewal,2024-06-01,990
108,u013,month_6_renewal,2024-07-01,990
109,u013,month_7_renewal,2024-08-01,990
110,u013,month_8_renewal,2024-09-01,990
111,u014,registration,2024-03-15,0
112,u014,first_payment,2024-03-15,990
113,u014,month_2_renewal,2024-04-15,990
114,u014,month_3_renewal,2024-05-15,990
115,u014,month_4_renewal,2024-06-15,990
116,u014,month_5_renewal,2024-07-15,990
117,u014,month_6_renewal,2024-08-15,990
118,u015,registration,2024-01-05,0
119,u015,first_payment,2024-01-05,990
120,u015,month_2_renewal,2024-02-05,990
121,u015,month_3_renewal,2024-03-05,990
122,u015,month_4_renewal,2024-04-05,990
123,u015,month_5_renewal,2024-05-05,990
124,u015,month_6_renewal,2024-06-05,990
125,u015,month_7_renewal,2024-07-05,990
126,u015,month_8_renewal,2024-08-05,990
127,u015,month_9_renewal,2024-09-05,990
128,u016,registration,2024-02-20,0
129,u016,first_payment,2024-02-20,990
130,u016,month_2_renewal,2024-03-20,990
131,u016,month_3_renewal,2024-04-20,990
132,u016,month_4_renewal,2024-05-20,990
133,u016,month_5_renewal,2024-06-20,990
134,u016,month_6_renewal,2024-07-20,990
135,u016,month_7_renewal,2024-08-20,990
136,u016,month_8_renewal,2024-09-20,990
137,u017,registration,2024-03-25,0
138,u017,first_payment,2024-03-25,990
139,u017,month_2_renewal,2024-04-25,990
140,u017,month_3_renewal,2024-05-25,990
141,u017,month_4_renewal,2024-06-25,990
142,u017,month_5_renewal,2024-07-25,990
143,u017,month_6_renewal,2024-08-25,990
144,u017,month_7_renewal,2024-09-25,990
145,u018,registration,2024-02-25,0
146,u018,first_payment,2024-02-25,990
147,u018,month_2_renewal,2024-03-25,990
148,u018,month_3_renewal,2024-04-25,990
149,u018,month_4_renewal,2024-05-25,990
150,u018,month_5_renewal,2024-06-25,990
151,u018,month_6_renewal,2024-07-25,990
152,u018,month_7_renewal,2024-08-25,990
153,u019,registration,2024-01-30,0
154,u019,first_payment,2024-01-30,990
155,u020,registration,2024-03-08,0
156,u020,first_payment,2024-03-08,990
157,u020,month_2_renewal,2024-04-08,990
158,u020,month_3_renewal,2024-05-08,990
159,u020,month_4_renewal,2024-06-08,990
160,u020,month_5_renewal,2024-07-08,990
161,u020,month_6_renewal,2024-08-08,990
162,u021,registration,2024-01-02,0
163,u021,first_payment,2024-01-02,990
164,u021,month_2_renewal,2024-02-02,990
165,u021,month_3_renewal,2024-03-02,990
166,u021,month_4_renewal,2024-04-02,990
167,u021,month_5_renewal,2024-05-02,990
168,u021,month_6_renewal,2024-06-02,990
169,u021,month_7_renewal,2024-07-02,990
170,u021,month_8_renewal,2024-08-02,990
171,u021,month_9_renewal,2024-09-02,990
172,u021,month_10_renewal,2024-10-02,990
173,u022,registration,2024-04-01,0
174,u022,first_payment,2024-04-01,990
175,u022,month_2_renewal,2024-05-01,990
176,u022,month_3_renewal,2024-06-01,990
177,u022,month_4_renewal,2024-07-01,990
178,u022,month_5_renewal,2024-08-01,990
179,u022,month_6_renewal,2024-09-01,990
180,u023,registration,2024-02-12,0
181,u023,first_payment,2024-02-12,990
182,u023,month_2_renewal,2024-03-12,990
183,u023,month_3_renewal,2024-04-12,990
184,u023,month_4_renewal,2024-05-12,990
185,u023,month_5_renewal,2024-06-12,990
186,u023,month_6_renewal,2024-07-12,990
187,u023,month_7_renewal,2024-08-12,990
188,u024,registration,2024-02-08,0
189,u024,first_payment,2024-02-08,990
190,u024,month_2_renewal,2024-03-08,990
191,u024,month_3_renewal,2024-04-08,990
192,u024,month_4_renewal,2024-05-08,990
193,u024,month_5_renewal,2024-06-08,990
194,u024,month_6_renewal,2024-07-08,990
195,u024,month_7_renewal,2024-08-08,990
196,u024,month_8_renewal,2024-09-08,990
197,u025,registration,2024-03-18,0
198,u025,first_payment,2024-03-18,990
199,u025,month_2_renewal,2024-04-18,990
200,u025,month_3_renewal,2024-05-18,990
201,u025,month_4_renewal,2024-06-18,990
202,u025,month_5_renewal,2024-07-18,990
203,u025,month_6_renewal,2024-08-18,990
204,u025,month_7_renewal,2024-09-18,990
205,u026,registration,2024-04-05,0
206,u026,first_payment,2024-04-05,990
207,u026,month_2_renewal,2024-05-05,990
208,u026,month_3_renewal,2024-06-05,990
209,u026,month_4_renewal,2024-07-05,990
210,u026,month_5_renewal,2024-08-05,990
211,u026,month_6_renewal,2024-09-05,990
212,u027,registration,2024-01-08,0
213,u027,first_payment,2024-01-08,990
214,u027,month_2_renewal,2024-02-08,990
215,u027,month_3_renewal,2024-03-08,990
216,u027,month_4_renewal,2024-04-08,990
217,u027,month_5_renewal,2024-05-08,990
218,u027,month_6_renewal,2024-06-08,990
219,u027,month_7_renewal,2024-07-08,990
220,u027,month_8_renewal,2024-08-08,990
221,u027,month_9_renewal,2024-09-08,990
222,u028,registration,2024-03-28,0
223,u028,first_payment,2024-03-28,990
224,u028,month_2_renewal,2024-04-28,990
225,u028,month_3_renewal,2024-05-28,990
226,u028,month_4_renewal,2024-06-28,990
227,u028,month_5_renewal,2024-07-28,990
228,u028,month_6_renewal,2024-08-28,990
229,u029,registration,2024-01-12,0
230,u029,first_payment,2024-01-12,990
231,u029,month_2_renewal,2024-02-12,990
232,u029,month_3_renewal,2024-03-12,990
233,u029,month_4_renewal,2024-04-12,990
234,u029,month_5_renewal,2024-05-12,990
235,u029,month_6_renewal,2024-06-12,990
236,u029,month_7_renewal,2024-07-12,990
237,u029,month_8_renewal,2024-08-12,990
238,u029,month_9_renewal,2024-09-12,990
239,u029,month_10_renewal,2024-10-12,990
240,u029,month_11_renewal,2024-11-12,990
241,u030,registration,2024-04-10,0
242,u030,first_payment,2024-04-10,990
243,u030,month_2_renewal,2024-05-10,990
244,u030,month_3_renewal,2024-06-10,990
245,u030,month_4_renewal,2024-07-10,990
246,u030,month_5_renewal,2024-08-10,990
247,u030,month_6_renewal,2024-09-10,990
248,u031,registration,2024-04-15,0
249,u031,first_payment,2024-04-15,990
250,u031,month_2_renewal,2024-05-15,990
251,u031,month_3_renewal,2024-06-15,990
252,u031,month_4_renewal,2024-07-15,990
253,u031,month_5_renewal,2024-08-15,990
254,u031,month_6_renewal,2024-09-15,990
255,u032,registration,2024-02-18,0
256,u032,first_payment,2024-02-18,990
257,u032,month_2_renewal,2024-03-18,990
258,u032,month_3_renewal,2024-04-18,990
259,u032,month_4_renewal,2024-05-18,990
260,u032,month_5_renewal,2024-06-18,990
261,u032,month_6_renewal,2024-07-18,990
262,u032,month_7_renewal,2024-08-18,990
263,u032,month_8_renewal,2024-09-18,990
264,u033,registration,2024-01-22,0
265,u033,first_payment,2024-01-22,990
266,u033,month_2_renewal,2024-02-22,990
267,u033,month_3_renewal,2024-03-22,990
268,u033,month_4_renewal,2024-04-22,990
269,u033,month_5_renewal,2024-05-22,990
270,u033,month_6_renewal,2024-06-22,990
271,u033,month_7_renewal,2024-07-22,990
272,u033,month_8_renewal,2024-08-22,990
273,u033,month_9_renewal,2024-09-22,990
274,u034,registration,2024-03-12,0
275,u034,first_payment,2024-03-12,990
276,u034,month_2_renewal,2024-04-12,990
277,u034,month_3_renewal,2024-05-12,990
278,u034,month_4_renewal,2024-06-12,990
279,u034,month_5_renewal,2024-07-12,990
280,u034,month_6_renewal,2024-08-12,990
281,u034,month_7_renewal,2024-09-12,990
282,u035,registration,2024-01-18,0
283,u035,first_payment,2024-01-18,990
284,u035,month_2_renewal,2024-02-18,990
285,u035,month_3_renewal,2024-03-18,990
286,u035,month_4_renewal,2024-04-18,990
287,u035,month_5_renewal,2024-05-18,990
288,u035,month_6_renewal,2024-06-18,990
289,u035,month_7_renewal,2024-07-18,990
290,u035,month_8_renewal,2024-08-18,990
291,u035,month_9_renewal,2024-09-18,990
292,u035,month_10_renewal,2024-10-18,990
293,u035,month_11_renewal,2024-11-18,990
294,u035,month_12_renewal,2024-12-18,990
295,u036,registration,2024-04-20,0
296,u036,first_payment,2024-04-20,990
297,u036,month_2_renewal,2024-05-20,990
298,u036,month_3_renewal,2024-06-20,990
299,u036,month_4_renewal,2024-07-20,990
300,u036,month_5_renewal,2024-08-20,990
301,u036,month_6_renewal,2024-09-20,990
302,u037,registration,2024-02-22,0
303,u037,first_payment,2024-02-22,990
304,u038,registration,2024-03-22,0
305,u038,first_payment,2024-03-22,990
306,u038,month_2_renewal,2024-04-22,990
307,u038,month_3_renewal,2024-05-22,990
308,u038,month_4_renewal,2024-06-22,990
309,u038,month_5_renewal,2024-07-22,990
310,u038,month_6_renewal,2024-08-22,990
311,u038,month_7_renewal,2024-09-22,990
312,u039,registration,2024-04-25,0
313,u039,first_payment,2024-04-25,990
314,u039,month_2_renewal,2024-05-25,990
315,u039,month_3_renewal,2024-06-25,990
316,u039,month_4_renewal,2024-07-25,990
317,u039,month_5_renewal,2024-08-25,990
318,u039,month_6_renewal,2024-09-25,990
319,u040,registration,2024-05-01,0
320,u040,first_payment,2024-05-01,990
321,u040,month_2_renewal,2024-06-01,990
322,u040,month_3_renewal,2024-07-01,990
323,u040,month_4_renewal,2024-08-01,990
324,u040,month_5_renewal,2024-09-01,990
325,u041,registration,2024-05-05,0
326,u041,first_payment,2024-05-05,990
327,u041,month_2_renewal,2024-06-05,990
328,u041,month_3_renewal,2024-07-05,990
329,u041,month_4_renewal,2024-08-05,990
330,u041,month_5_renewal,2024-09-05,990
331,u042,registration,2024-05-10,0
332,u042,first_payment,2024-05-10,990
333,u042,month_2_renewal,2024-06-10,990
334,u042,month_3_renewal,2024-07-10,990
335,u042,month_4_renewal,2024-08-10,990
336,u042,month_5_renewal,2024-09-10,990
337,u043,registration,2024-05-15,0
338,u043,first_payment,2024-05-15,990
339,u043,month_2_renewal,2024-06-15,990
340,u043,month_3_renewal,2024-07-15,990
341,u043,month_4_renewal,2024-08-15,990
342,u043,month_5_renewal,2024-09-15,990
343,u044,registration,2024-05-20,0
344,u044,first_payment,2024-05-20,990
345,u044,month_2_renewal,2024-06-20,990
346,u044,month_3_renewal,2024-07-20,990
347,u044,month_4_renewal,2024-08-20,990
348,u044,month_5_renewal,2024-09-20,990
349,u045,registration,2024-05-25,0
350,u045,first_payment,2024-05-25,990
351,u045,month_2_renewal,2024-06-25,990
352,u045,month_3_renewal,2024-07-25,990
353,u045,month_4_renewal,2024-08-25,990
354,u045,month_5_renewal,2024-09-25,990
355,u046,registration,2024-06-01,0
356,u046,first_payment,2024-06-01,990
357,u046,month_2_renewal,2024-07-01,990
358,u046,month_3_renewal,2024-08-01,990
359,u046,month_4_renewal,2024-09-01,990
360,u047,registration,2024-06-05,0
361,u047,first_payment,2024-06-05,990
362,u047,month_2_renewal,2024-07-05,990
363,u047,month_3_renewal,2024-08-05,990
364,u047,month_4_renewal,2024-09-05,990
365,u048,registration,2024-06-10,0
366,u048,first_payment,2024-06-10,990
367,u048,month_2_renewal,2024-07-10,990
368,u048,month_3_renewal,2024-08-10,990
369,u048,month_4_renewal,2024-09-10,990
370,u049,registration,2024-06-15,0
371,u049,first_payment,2024-06-15,990
372,u049,month_2_renewal,2024-07-15,990
373,u049,month_3_renewal,2024-08-15,990
374,u049,month_4_renewal,2024-09-15,990
375,u050,registration,2024-06-20,0
376,u050,first_payment,2024-06-20,990
377,u050,month_2_renewal,2024-07-20,990
378,u050,month_3_renewal,2024-08-20,990
379,u050,month_4_renewal,2024-09-20,990
380,u051,registration,2024-07-01,0
381,u051,first_payment,2024-07-01,990
382,u051,month_2_renewal,2024-08-01,990
383,u051,month_3_renewal,2024-09-01,990
384,u051,month_4_renewal,2024-10-01,990
385,u052,registration,2024-06-05,0
386,u052,first_payment,2024-06-05,990
387,u052,month_2_renewal,2024-07-05,990
388,u052,month_3_renewal,2024-08-05,990
389,u052,month_4_renewal,2024-09-05,990
390,u053,registration,2024-07-10,0
391,u053,first_payment,2024-07-10,990
392,u053,month_2_renewal,2024-08-10,990
393,u053,month_3_renewal,2024-09-10,990
394,u054,registration,2024-06-15,0
395,u054,first_payment,2024-06-15,990
396,u054,month_2_renewal,2024-07-15,990
397,u054,month_3_renewal,2024-08-15,990
398,u054,month_4_renewal,2024-09-15,990
399,u055,registration,2024-07-20,0
400,u055,first_payment,2024-07-20,990
401,u055,month_2_renewal,2024-08-20,990
402,u055,month_3_renewal,2024-09-20,990
403,u056,registration,2024-06-25,0
404,u056,first_payment,2024-06-25,990
405,u056,month_2_renewal,2024-07-25,990
406,u056,month_3_renewal,2024-08-25,990
407,u056,month_4_renewal,2024-09-25,990
408,u057,registration,2024-07-28,0
409,u057,first_payment,2024-07-28,990
410,u057,month_2_renewal,2024-08-28,990
411,u057,month_3_renewal,2024-09-28,990
412,u058,registration,2024-06-30,0
413,u058,first_payment,2024-06-30,990
414,u058,month_2_renewal,2024-07-30,990
415,u058,month_3_renewal,2024-08-30,990
416,u058,month_4_renewal,2024-09-30,990
417,u059,registration,2024-07-05,0
418,u059,first_payment,2024-07-05,990
419,u059,month_2_renewal,2024-08-05,990
420,u059,month_3_renewal,2024-09-05,990
421,u060,registration,2024-06-10,0
422,u060,first_payment,2024-06-10,990
423,u060,month_2_renewal,2024-07-10,990
424,u060,month_3_renewal,2024-08-10,990
425,u060,month_4_renewal,2024-09-10,990
426,u061,registration,2024-07-15,0
427,u061,first_payment,2024-07-15,990
428,u061,month_2_renewal,2024-08-15,990
429,u061,month_3_renewal,2024-09-15,990
430,u062,registration,2024-06-20,0
431,u062,first_payment,2024-06-20,990
432,u062,month_2_renewal,2024-07-20,990
433,u062,month_3_renewal,2024-08-20,990
434,u062,month_4_renewal,2024-09-20,990
435,u063,registration,2024-07-25,0
436,u063,first_payment,2024-07-25,990
437,u063,month_2_renewal,2024-08-25,990
438,u063,month_3_renewal,2024-09-25,990
439,u064,registration,2024-06-28,0
440,u064,first_payment,2024-06-28,990
441,u064,month_2_renewal,2024-07-28,990
442,u064,month_3_renewal,2024-08-28,990
443,u064,month_4_renewal,2024-09-28,990
444,u065,registration,2024-08-01,0
445,u065,first_payment,2024-08-01,990
446,u065,month_2_renewal,2024-09-01,990
447,u065,month_3_renewal,2024-10-01,990
448,u066,registration,2024-08-05,0
449,u066,first_payment,2024-08-05,990
450,u066,month_2_renewal,2024-09-05,990
451,u066,month_3_renewal,2024-10-05,990
452,u067,registration,2024-08-10,0
453,u067,first_payment,2024-08-10,990
454,u067,month_2_renewal,2024-09-10,990
455,u067,month_3_renewal,2024-10-10,990
456,u068,registration,2024-08-15,0
457,u068,first_payment,2024-08-15,990
458,u068,month_2_renewal,2024-09-15,990
459,u068,month_3_renewal,2024-10-15,990
460,u069,registration,2024-08-20,0
461,u069,first_payment,2024-08-20,990
462,u069,month_2_renewal,2024-09-20,990
463,u069,month_3_renewal,2024-10-20,990
464,u070,registration,2024-08-25,0
465,u070,first_payment,2024-08-25,990
466,u070,month_2_renewal,2024-09-25,990
467,u070,month_3_renewal,2024-10-25,990
468,u071,registration,2024-09-01,0
469,u071,first_payment,2024-09-01,990
470,u071,month_2_renewal,2024-10-01,990
471,u072,registration,2024-09-05,0
472,u072,first_payment,2024-09-05,990
473,u072,month_2_renewal,2024-10-05,990
474,u073,registration,2024-09-10,0
475,u073,first_payment,2024-09-10,990
476,u073,month_2_renewal,2024-10-10,990
477,u074,registration,2024-09-15,0
478,u074,first_payment,2024-09-15,990
479,u074,month_2_renewal,2024-10-15,990
480,u075,registration,2024-09-20,0
481,u075,first_payment,2024-09-20,990
482,u075,month_2_renewal,2024-10-20,990
483,u076,registration,2024-09-25,0
484,u076,first_payment,2024-09-25,990
485,u076,month_2_renewal,2024-10-25,990
486,u077,registration,2024-09-28,0
487,u077,first_payment,2024-09-28,990
488,u077,month_2_renewal,2024-10-28,990
489,u078,registration,2024-10-01,0
490,u078,first_payment,2024-10-01,990
491,u079,registration,2024-10-05,0
492,u079,first_payment,2024-10-05,990
493,u080,registration,2024-10-10,0
494,u080,first_payment,2024-10-10,990
495,u081,registration,2024-10-15,0
496,u081,first_payment,2024-10-15,990
497,u082,registration,2024-10-20,0
498,u082,first_payment,2024-10-20,990
499,u083,registration,2024-10-25,0
500,u083,first_payment,2024-10-25,990
501,u084,registration,2024-10-28,0
502,u084,first_payment,2024-10-28,990
503,u085,registration,2024-11-01,0
504,u085,first_payment,2024-11-01,990
505,u086,registration,2024-11-05,0
506,u086,first_payment,2024-11-05,990
507,u087,registration,2024-11-10,0
508,u087,first_payment,2024-11-10,990
509,u088,registration,2024-11-15,0
510,u088,first_payment,2024-11-15,990
511,u089,registration,2024-11-20,0
512,u089,first_payment,2024-11-20,990
513,u090,registration,2024-11-25,0
514,u090,first_payment,2024-11-25,990
515,u091,registration,2024-08-01,0
516,u091,first_payment,2024-08-01,990
517,u091,renewal_failed,2024-09-01,0
518,u091,cancellation,2024-09-01,0
519,u092,registration,2024-08-05,0
520,u092,first_payment,2024-08-05,990
521,u092,renewal_failed,2024-09-05,0
522,u092,cancellation,2024-09-05,0
523,u093,registration,2024-08-10,0
524,u093,first_payment,2024-08-10,990
525,u093,renewal_failed,2024-09-10,0
526,u093,cancellation,2024-09-10,0
527,u094,registration,2024-08-15,0
528,u094,first_payment,2024-08-15,990
529,u094,renewal_failed,2024-09-15,0
530,u094,cancellation,2024-09-15,0
531,u095,registration,2024-08-20,0
532,u095,first_payment,2024-08-20,990
533,u095,renewal_failed,2024-09-20,0
534,u095,cancellation,2024-09-20,0
535,u096,registration,2024-08-25,0
536,u096,first_payment,2024-08-25,990
537,u096,renewal_failed,2024-09-25,0
538,u096,cancellation,2024-09-25,0
539,u097,registration,2024-08-28,0
540,u097,first_payment,2024-08-28,990
541,u097,renewal_failed,2024-09-28,0
542,u097,cancellation,2024-09-28,0
543,u098,registration,2024-09-01,0
544,u098,first_payment,2024-09-01,990
545,u098,renewal_failed,2024-10-01,0
546,u098,cancellation,2024-10-01,0
547,u099,registration,2024-09-05,0
548,u099,first_payment,2024-09-05,990
549,u099,renewal_failed,2024-10-05,0
550,u099,cancellation,2024-10-05,0
551,u100,registration,2024-09-10,0
552,u100,first_payment,2024-09-10,990
553,u100,renewal_failed,2024-10-10,0
554,u100,cancellation,2024-10-10,0
555,u101,registration,2024-09-15,0
556,u101,first_payment,2024-09-15,990
557,u101,renewal_failed,2024-10-15,0
558,u101,cancellation,2024-10-15,0
559,u102,registration,2024-09-20,0
560,u102,first_payment,2024-09-20,990
561,u102,renewal_failed,2024-10-20,0
562,u102,cancellation,2024-10-20,0
563,u103,registration,2024-09-25,0
564,u103,first_payment,2024-09-25,990
565,u103,renewal_failed,2024-10-25,0
566,u103,cancellation,2024-10-25,0
567,u104,registration,2024-09-28,0
568,u104,first_payment,2024-09-28,990
569,u104,renewal_failed,2024-10-28,0
570,u104,cancellation,2024-10-28,0
571,u105,registration,2024-10-01,0
572,u105,first_payment,2024-10-01,990
573,u105,renewal_failed,2024-11-01,0
574,u105,cancellation,2024-11-01,0
575,u106,registration,2024-10-05,0
576,u106,first_payment,2024-10-05,990
577,u106,renewal_failed,2024-11-05,0
578,u106,cancellation,2024-11-05,0
579,u107,registration,2024-10-10,0
580,u107,first_payment,2024-10-10,990
581,u107,renewal_failed,2024-11-10,0
582,u107,cancellation,2024-11-10,0
583,u108,registration,2024-10-15,0
584,u108,first_payment,2024-10-15,990
585,u108,renewal_failed,2024-11-15,0
586,u108,cancellation,2024-11-15,0
587,u109,registration,2024-10-20,0
588,u109,first_payment,2024-10-20,990
589,u109,renewal_failed,2024-11-20,0
590,u109,cancellation,2024-11-20,0
591,u110,registration,2024-10-25,0
592,u110,first_payment,2024-10-25,990
593,u110,renewal_failed,2024-11-25,0
594,u110,cancellation,2024-11-25,0
595,u111,registration,2024-09-01,0
596,u111,first_payment,2024-09-01,990
597,u111,cancellation,2024-10-01,0
598,u112,registration,2024-09-05,0
599,u112,first_payment,2024-09-05,990
600,u112,cancellation,2024-10-05,0
601,u113,registration,2024-09-10,0
602,u113,first_payment,2024-09-10,990
603,u113,month_2_renewal,2024-10-10,990
604,u113,cancellation,2024-11-10,0
605,u114,registration,2024-09-15,0
606,u114,first_payment,2024-09-15,990
607,u114,cancellation,2024-10-15,0
608,u115,registration,2024-09-20,0
609,u115,first_payment,2024-09-20,990
610,u115,cancellation,2024-10-20,0
611,u116,registration,2024-09-25,0
612,u116,first_payment,2024-09-25,990
613,u116,month_2_renewal,2024-10-25,990
614,u116,cancellation,2024-11-25,0
615,u117,registration,2024-09-28,0
616,u117,first_payment,2024-09-28,990
617,u117,cancellation,2024-10-28,0
618,u118,registration,2024-10-01,0
619,u118,first_payment,2024-10-01,990
620,u118,cancellation,2024-11-01,0
621,u119,registration,2024-10-05,0
622,u119,first_payment,2024-10-05,990
623,u119,cancellation,2024-11-05,0
624,u120,registration,2024-10-10,0
625,u120,first_payment,2024-10-10,990
626,u120,cancellation,2024-11-10,0
627,u121,registration,2024-10-15,0
628,u121,first_payment,2024-10-15,990
629,u121,cancellation,2024-11-15,0
630,u122,registration,2024-10-20,0
631,u122,first_payment,2024-10-20,990
632,u122,cancellation,2024-11-20,0
633,u123,registration,2024-10-25,0
634,u123,first_payment,2024-10-25,990
635,u123,cancellation,2024-11-25,0
636,u124,registration,2024-10-28,0
637,u124,first_payment,2024-10-28,990
638,u124,renewal_failed,2024-11-28,0
639,u124,cancellation,2024-11-28,0
640,u125,registration,2024-11-01,0
641,u125,first_payment,2024-11-01,990
642,u125,renewal_failed,2024-12-01,0
643,u125,cancellation,2024-12-01,0
644,u126,registration,2024-11-05,0
645,u126,first_payment,2024-11-05,990
646,u126,cancellation,2024-12-05,0
647,u127,registration,2024-11-10,0
648,u127,first_payment,2024-11-10,990
649,u127,cancellation,2024-12-10,0
650,u128,registration,2024-11-15,0
651,u128,first_payment,2024-11-15,990
652,u128,renewal_failed,2024-12-15,0
653,u128,cancellation,2024-12-15,0
654,u129,registration,2024-11-20,0
655,u129,first_payment,2024-11-20,990
656,u129,cancellation,2024-12-20,0
657,u130,registration,2024-11-25,0
658,u130,first_payment,2024-11-25,990
659,u130,cancellation,2024-12-25,0
660,u131,registration,2024-04-01,0
661,u131,first_payment,2024-04-01,990
662,u131,cancellation,2024-05-01,0
663,u132,registration,2024-04-05,0
664,u132,first_payment,2024-04-05,990
665,u133,registration,2024-04-10,0
666,u133,first_payment,2024-04-10,990
667,u133,month_2_renewal,2024-05-10,990
668,u133,cancellation,2024-06-10,0
669,u134,registration,2024-04-15,0
670,u134,first_payment,2024-04-15,990
671,u135,registration,2024-04-20,0
672,u135,first_payment,2024-04-20,990
673,u136,registration,2024-04-25,0
674,u136,first_payment,2024-04-25,990
675,u137,registration,2024-04-28,0
676,u137,first_payment,2024-04-28,990
677,u137,renewal_failed,2024-05-28,0
678,u137,cancellation,2024-05-28,0
679,u138,registration,2024-05-01,0
680,u138,first_payment,2024-05-01,990
681,u138,renewal_failed,2024-06-01,0
682,u138,cancellation,2024-06-01,0
683,u139,registration,2024-05-05,0
684,u139,first_payment,2024-05-05,990
685,u140,registration,2024-05-10,0
686,u140,first_payment,2024-05-10,990
687,u141,registration,2024-05-15,0
688,u141,first_payment,2024-05-15,990
689,u142,registration,2024-05-20,0
690,u142,first_payment,2024-05-20,990
691,u143,registration,2024-05-25,0
692,u143,first_payment,2024-05-25,990
693,u144,registration,2024-05-28,0
694,u144,first_payment,2024-05-28,990
